id,task_id,user_id,assigned_at,assigned_by,is_active
714308b2-6cb9-4008-8545-daea2cb8ad20,80a33249-b350-470c-9a42-3fbbc7fbc9ff,4b5a6211-c52d-4f22-a93f-4eeae6147bb8,2026-06-03 21:39:34.566247+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
b0256bca-ac8f-4ce1-b17f-e60810794b6a,80a33249-b350-470c-9a42-3fbbc7fbc9ff,be2d4b6d-7a78-4322-8200-809a580e4f86,2026-06-03 21:39:34.644365+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
58ebeb2e-d5fe-46b0-8e97-be7112b9a7a7,2bfd86b1-b1e6-4122-bda2-2ef3998de539,be2d4b6d-7a78-4322-8200-809a580e4f86,2026-06-03 21:39:34.798229+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
509aa666-f388-430f-bcf3-aecd7ad5d19e,1fe8b324-f43d-4099-9c36-cea0531357da,b5d4acc3-d63a-4c9c-98ae-b48e4d976c48,2026-06-03 21:39:34.915024+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
8c2603c6-de90-4f38-ae22-8b99874b714c,747d7178-ab4b-4757-adb0-ff3dde9a7621,e7bb21ab-dc7e-4158-9edd-1ebfd7d8b4ff,2026-06-03 21:39:35.071736+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
d2a2df05-e48c-4efe-8d8d-a8a0f331f892,747d7178-ab4b-4757-adb0-ff3dde9a7621,7387a39e-25fb-4743-b051-4ab3e21ecca5,2026-06-03 21:39:35.147872+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
dd093024-43f8-474b-9bee-c53bd8d1a25c,dc7b98b0-06ea-403f-a7b2-5217f6391a16,7387a39e-25fb-4743-b051-4ab3e21ecca5,2026-06-03 21:39:35.265336+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
3880e9e0-7ac1-4de6-94be-1a8f17c19860,ee3528cb-3c91-4bd5-a69b-f03fac72e7a5,b29451e3-04b2-40fd-8518-6f12b1359aee,2026-06-03 21:39:35.418656+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
d6a2598c-3b8c-4f21-b498-f7d609a9721a,aeea3eaa-99b1-4740-bb0f-ed936041b435,4b5a6211-c52d-4f22-a93f-4eeae6147bb8,2026-06-03 21:39:35.532836+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
97399f98-00f9-4b79-bb2a-e8237fc88082,aeea3eaa-99b1-4740-bb0f-ed936041b435,be2d4b6d-7a78-4322-8200-809a580e4f86,2026-06-03 21:39:35.610969+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
86394f37-b298-4b34-a6f4-134bb46cd6e8,38086c2e-365e-454f-808b-9d134d8f2ae9,be2d4b6d-7a78-4322-8200-809a580e4f86,2026-06-03 21:39:35.954986+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
43425409-86d8-4f9b-8b4d-4095288acb96,7e8feea4-d4f1-472f-a4b1-07c7fb952bc7,b5d4acc3-d63a-4c9c-98ae-b48e4d976c48,2026-06-03 21:39:36.072876+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
1de45ec2-b033-49de-9bf5-d9aba1110096,fb6f10a0-d85d-4d4e-9e4e-a9f67a2f2fca,e7bb21ab-dc7e-4158-9edd-1ebfd7d8b4ff,2026-06-03 21:39:36.229631+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
b95f1da8-0f95-4d30-98b7-341acbeab81d,fb6f10a0-d85d-4d4e-9e4e-a9f67a2f2fca,7387a39e-25fb-4743-b051-4ab3e21ecca5,2026-06-03 21:39:36.303214+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
2694a949-65a3-4ee5-884a-b8e460663cae,8ce2069c-0ff8-4e11-aae9-3b6a0282365c,dfff9b17-b596-474a-85a7-fb600e706c01,2026-06-03 23:48:27.700197+00,b7eddd8c-5cb4-40a3-9c8a-6b8ccb4cf4e3,t
f6dfef02-7b49-40e0-b83d-d7f80bac3683,758c1a63-c951-4102-875e-b2d18a355cc7,4b5a6211-c52d-4f22-a93f-4eeae6147bb8,2026-06-04 14:59:17.078655+00,dfff9b17-b596-474a-85a7-fb600e706c01,t
